Name,Reference on pcb,LCSC Part #,Footprint,Link,Price,Amount
1uF,C1/C12,C15849,C0603,link,0.39,2
0.1uF,C2-C11/C18/C17,C60474,C0402,link,0.1,12
10uF,C13/C14,C19702,C0603,link,0.4,2
33pF,C15/C16,C70465,C0402,link,0.36,2
USB-C,J1,C165948,SMD,link,0.85,1
pins,J2/J3,C6332195,1x12,link,0.4,2
other pins,J4,C32713269,1x03,link,0.11,1
crystal,Y1,C9002,SMD3225-4P,link,0.73,1
buttons,SW1/SW2,C720477,"SMD,4x3mm",link,0.55,2
10k,R6/R8,C98220,R0603,link,0.15,2
5.1k,R1/R2,C2907044,R0603,link,0.12,2
27ohm,R3/R4,C2907021,R0603,link,0.1,2
1k,R5/R7,C22548,R0603,link,0.15,2
RP2040,U1,C2040,LQFN-56(7x7),link,0.95,1
MCP1700xx,U2,C39051,SOT-23,link,1.88,1
W25Q64JVSSIQ,U3,C97521,SOIC-8-208mil,link,1.65,1
Total,X,X,X,X,8.89,X
