Name,Reference on pcb,LCSC Part #,Footprint,Price
1uF,C1/C12,C15849,C0603,0.39
0.1uF,C2-C11/C18/C17,C60474,C0402,0.1
10uF,C13/C14,C19702,C0603,0.4
33pF,C15/C16,C70465,C0402,0.36
USB-C,J1,C165948,SMD,0.85
GPIO pins,J2/J3,C6332195,1x12,0.4
SWD pins,J4,C32713269,1x03,0.11
Crystal,Y1,C9002,SMD3225-4P,0.73
Buttons,SW1/SW2,C720477,"SMD,4x3mm",0.55
10k,R6/R8,C98220,R0603,0.15
5.1k,R1/R2,C2907044,R0603,0.12
27ohm,R3/R4,C2907021,R0603,0.1
1k,R5/R7,C22548,R0603,0.15
RP2040,U1,C2040,LQFN-56(7x7),0.95
MCP1700xx,U2,C39051,SOT-23,1.88
W25Q64JVSSIQ,U3,C97521,SOIC-8-208mil,1.65
Total,X,X,X,8.89
