Designator,Mid X,Mid Y,Rotation,Layer
BOOT,133.9,-73.9,270.0,top
C1,146.7,-90.35,90.0,top
C10,142.2,-94.85,270.0,top
C11,143.15,-85.35,0.0,top
C12,140.4,-83.35,90.0,top
C13,145.55,-80.15,270.0,top
C14,144.6,-97.6,180.0,top
C15,138.05,-94.6,180.0,top
C16,136.15,-98.975,270.0,top
C17,141.5,-95.825,270.0,top
C18,146.3,-96.05,0.0,top
C2,136.8,-86.85,90.0,top
C3,146.0,-86.75,0.0,top
C4,144.8,-85.5,0.0,top
C5,145.8,-85.8,270.0,top
C6,137.0,-79.3,180.0,top
C7,141.45,-84.9,90.0,top
C8,146.3,-87.5,0.0,top
C9,136.3,-90.85,180.0,top
J1,141.13,-73.4,180.0,top
J2,148.4,-92.18,180.0,bottom
J3,133.9,-92.18,180.0,bottom
J4,141.09,-106.1,90.0,top
R1,143.9,-80.15,270.0,top
R2,139.4,-80.15,270.0,top
R3,140.9,-80.15,270.0,top
R4,142.4,-80.15,270.0,top
R5,141.55,-97.6,0.0,top
R6,137.15,-83.55,270.0,top
R7,138.65,-83.55,270.0,top
R8,145.4,-95.0,180.0,top
RST,148.4,-73.9,270.0,top
U1,141.25,-90.1,90.0,top
U2,144.9625,-83.35,180.0,top
U3,141.1625,-101.395,270.0,top
Y1,137.95,-96.65,180.0,top
